text,label
"Earn $5000/week working just 2 hours a day from home! No experience needed. Send your bank details to get started immediately!",scam
"URGENT HIRING! We need 50 people TODAY. Pay a small registration fee of $49 to secure your spot. Limited slots available!!!",scam
"Congratulations! You have been selected for a Data Entry position. Please pay a $99 processing fee via gift card to activate your account.",scam
"Work from home and make $300 a day! No interview required. Just send us your Aadhar card and bank passbook photo to proceed.",scam
"We are looking for a Social Media Manager. To confirm your interest, please transfer $25 for a background verification kit.",scam
"Hiring immediately for Part Time Typing Jobs. Earn up to Rs.30000/month. Contact on WhatsApp only. No calls. Pay Rs.500 registration.",scam
"Amazing opportunity!!! Be your own boss and earn unlimited income. Just deposit $150 to unlock your starter kit today.",scam
"Dear Candidate, you are hired as a Virtual Assistant. Kindly share your bank account number and IFSC code to process your first payment.",scam
"Exciting Remote Job Alert: Guaranteed $2000 in your first week. No resume needed, just fill this Google form with your card details.",scam
"We need a Package Handler to receive parcels at home and reship them. You will be paid $500/week. Contact us on Telegram immediately.",scam
"CONGRATULATIONS!!! You've been shortlisted without an interview. Send processing fee of $75 via Western Union to claim your offer letter.",scam
"Data entry job, work only 1 hour daily, earn $1000 weekly guaranteed. Pay $30 refundable deposit to receive your login credentials.",scam
"We are hiring Customer Support Executives. Salary credited daily. Register now by paying Rs.999 for training material via UPI.",scam
"Get hired instantly! No qualifications required. Just send us a copy of your ID proof and pay a nominal joining fee of $20.",scam
"Amazon Work From Home Program: Earn $4000/month rating products. Registration fee $40, refundable after first task completion.",scam
"Job offer confirmed! Please click this link and enter your bank login to receive your signing bonus of $500 today.",scam
"Immediate opening for Online Form Filling Job. No skills required. Send Rs.1500 to activate account and start earning today.",scam
"Home based typing job, earn 25000 monthly, no interview, no target, just pay registration of Rs.800 and get instant joining kit.",scam
"We noticed your resume online. You are pre-approved for a $6000/month remote role. Pay a $60 verification charge to proceed with onboarding.",scam
"Easy money guaranteed! Just refer 5 friends and pay a $35 activation fee to unlock unlimited earning potential from home.",scam
"Reputed MNC hiring freshers for data entry, salary 40k, pay Rs.2000 as security deposit refundable after joining, contact HR on WhatsApp only.",scam
"Get paid $200 daily just for liking and sharing social media posts! Small startup fee of $15 required to begin.",scam
"We are pleased to inform you that you have won a work from home job lottery. Send your account details to claim your prize job.",scam
"Hiring urgently, no interview, no resume, just WhatsApp your bank details and Aadhar number to start your $3000/month remote job today.",scam
"Software Engineer II - Backend. We're looking for an engineer with 2+ years of experience in distributed systems to join our payments team. Responsibilities include designing APIs, writing unit tests, and participating in code reviews. Apply through our careers page with your resume and a brief cover letter.",legit
"Data Analyst position at a mid-size retail analytics firm. Requirements: SQL, Python, and experience with Tableau or Power BI. Bachelor's degree in a quantitative field preferred. Please submit your resume via LinkedIn Easy Apply.",legit
"Machine Learning Intern (Summer 2026). You will work with the ML platform team on model evaluation pipelines. Requires familiarity with scikit-learn and PyTorch. Stipend provided. Apply through our official careers portal, no fees required.",legit
"We are hiring a Frontend Developer with 3+ years of React experience. Remote friendly, competitive salary based on experience, health insurance included. Send your portfolio and resume to careers@company.com.",legit
"Junior Accountant needed for a growing manufacturing company. Responsibilities include reconciling accounts, preparing monthly reports, and assisting with audits. CA Inter or equivalent preferred. Interviews conducted in person at our office.",legit
"Customer Success Associate - full time, hybrid role. You'll onboard new clients and manage renewals. 1-2 years experience in SaaS preferred. Competitive base salary plus commission. Apply via our official website.",legit
"UI/UX Designer wanted for a product design agency. Portfolio review required as part of the interview process. Figma proficiency expected. Salary discussed after first round interview, no upfront payments of any kind.",legit
"Backend Engineer (Node.js) - Series B startup. On-site in Bangalore, relocation assistance available. 2-4 years experience required. Interview process includes a take-home assignment and two technical rounds.",legit
"We're looking for a part-time Content Writer for our blog. Pay is per article, invoiced monthly after work is delivered and approved. Send 2-3 writing samples to our editorial team's email.",legit
"HR Generalist role at a logistics company. Responsibilities include recruitment coordination, onboarding, and employee engagement initiatives. 1+ years HR experience required. Walk-in interviews at our regional office on weekdays.",legit
"Data Science Intern - 6 month program. You'll work on real production models with mentorship from senior data scientists. Unpaid academic credit option available, or paid stipend for eligible candidates. Apply via university placement cell.",legit
"Business Analyst opening at a fintech company. Must have experience with SQL and financial modeling. Standard notice period buyout considered for the right candidate. Formal offer letter issued only after signed background check consent.",legit
"QA Engineer (Manual + Automation) - hybrid role, 3 days in office. Experience with Selenium and JIRA required. Salary range disclosed in the job posting per company policy.",legit
"Graphic Designer for an in-house marketing team. You will design social assets, email templates, and landing pages. Adobe Creative Suite proficiency required. Send your resume and portfolio link, no fees at any stage.",legit
"DevOps Engineer - manage CI/CD pipelines on AWS. 2+ years experience with Terraform and Kubernetes preferred. Interview process: recruiter screen, technical interview, and team fit conversation.",legit
"Sales Development Representative, entry-level, base salary plus uncapped commission. Full training provided. All communication through official company email domain, never personal numbers or messaging apps.",legit
"Research Assistant position in a university AI lab. Duties include literature review and running experiments. Compensation as per university stipend guidelines, disbursed through the official payroll system.",legit
"Product Manager - B2B SaaS company. 3+ years PM experience, strong communication skills required. Interview includes a product case study exercise. Offer contingent on standard background verification, no candidate-paid fees.",legit
"Embedded Systems Engineer for an automotive supplier. Experience with C/C++ and RTOS required. On-site role, standard benefits package including PF and gratuity as per Indian labor law.",legit
"Digital Marketing Executive - manage paid campaigns across Google and Meta Ads. 1-2 years experience. Performance reviewed quarterly with clear KPIs. Apply through Naukri or our careers page.",legit
"Technical Writer needed to document internal APIs. Strong writing sample required. Freelance, paid per project milestone upon delivery and review, contract signed before work begins.",legit
"Cloud Support Engineer - Tier 2. AWS or Azure certification preferred. Rotational shifts, night shift allowance included. All hiring communication comes only from our verified company domain.",legit
"Mobile App Developer (Flutter) - join our small but growing startup. Equity option available in addition to base salary. In-person interview required before any offer is extended.",legit
"Operations Coordinator for an e-commerce fulfillment center. Coordinates with warehouse staff and logistics partners. Local candidates preferred, in-person interview and reference checks required.",legit
"Junior Data Engineer - build and maintain ETL pipelines using Airflow and Spark. Bachelor's in CS or related field. Standard recruitment process with no fees at any stage, offer letter issued after HR round.",legit
